txId1,txId2
4568,4676
2725,681
2357,1988
225,4031
4198,2797
3047,1558
827,4970
654,3499
3727,3308
3044,3103
186,1703
419,769
3289,816
2113,3009
452,58
564,2025
266,3328
2729,2493
1833,2656
302,1512
4430,4670
1478,3084
881,4191
433,4117
3179,1802
3028,1846
401,3781
4952,3733
3120,3213
125,2789
4222,4878
1095,1845
4227,4268
1124,1374
392,4800
4211,1861
3355,4775
3287,2424
2262,4214
3845,382
33,219
3065,3213
1288,4399
4988,812
586,2318
976,1042
4079,3791
2935,3484
2872,896
2455,1938
4712,3314
97,3401
1979,4841
40,2388
4097,1075
4607,1373
1788,2892
2413,2859
1468,1479
877,1012
4729,1213
984,4297
792,3139
4252,141
4364,110
2089,361
2285,1606
3361,1433
4198,3418
1236,485
47,4392
4954,3263
107,2472
505,558
223,2272
771,1
3503,1682
3284,4116
4259,4460
4593,3323
4697,2060
3234,2499
3513,3527
81,4446
1348,2463
3863,3790
4808,4668
4952,2323
1450,1558
928,1158
1453,2786
890,921
3863,4859
4064,4159
573,1696
2150,2138
220,1939
311,992
39,2535
2640,1877
1777,1809
2150,930
4394,4498
849,878
4278,3778
4574,776
4401,3504
820,3524
2446,2051
2405,462
4525,4238
2830,3282
260,4623
4693,2009
200,1584
749,4830
1679,1748
4064,4232
3888,1748
69,241
3794,3283
448,2626
2236,860
2154,2332
1037,4355
3176,4302
98,696
2004,190
2812,1149
182,1719
568,389
537,4751
3219,3988
3445,4847
3519,527
1537,795
3557,3686
2805,3582
4861,3780
1055,3137
1418,3310
618,4030
814,944
1083,1124
1473,1525
577,1217
55,3134
1785,2870
2271,4977
558,2669
2935,2271
3031,309
4788,3177
1880,473
1679,177
3061,1075
461,511
589,2158
1180,4377
1338,4449
491,558
182,4809
1518,1686
1214,4665
1837,1891
2095,1126
151,2906
3219,790
124,3938
3176,3656
1548,2414
4027,373
39,69
404,3783
1320,1368
558,588
2851,4944
1253,2842
1085,2499
95,4185
1580,3330
1069,4061
481,2108
3699,3512
4021,3570
4729,2834
384,1067
690,2522
592,4591
646,753
263,4431
549,193
3968,4159
2306,3655
1315,2835
568,1922
532,2765
253,894
2893,3213
192,3665
775,1290
3281,2148
1249,2011
658,4482
927,294
528,4687
2074,619
4296,4632
1361,3634
4568,4652
2556,4786
225,4815
424,491
3744,1933
2356,4867
4004,346
2799,4710
1180,3828
354,423
3711,762
1434,495
651,4877
1849,855
2482,2893
239,122
378,4046
39,124
1460,816
4780,4701
827,4374
1097,1771
2912,1292
2515,4587
3648,1756
15,4556
449,2268
4151,1907
1478,228
3361,600
2415,251
146,1142
4238,191
770,2383
3079,634
131,3497
1458,2248
4375,1152
2596,1401
4672,2408
423,424
333,263
2999,1893
4657,2409
710,1351
1832,2
786,187
615,1450
5000,435
976,2415
1545,1686
4281,889
2795,4410
1069,3409
3315,953
4942,3516
655,455
847,1730
511,588
1408,1468
300,2977
625,1150
3255,1991
1704,4729
1534,4497
3539,2334
4279,3074
642,1189
3006,2484
2334,1722
3637,308
69,1850
245,4020
3330,3097
1205,4677
4506,4568
3553,1076
588,623
4693,1587
272,763
404,4571
4676,4810
106,3887
1117,2599
1026,2215
1266,3259
4462,4809
4887,321
847,195
1508,1545
1566,2742
4448,4506
1575,3021
588,589
379,4283
1809,1871
2197,4817
207,3659
4119,1693
768,771
278,2979
415,2664
816,48
2501,1883
2135,4436
3499,2628
2144,2913
4097,4065
4211,3761
2910,509
467,3192
1218,1048
399,676
653,2279
3592,2773
48,47
4945,2107
1097,3656
3142,1138
52,4363
138,633
4913,1182
3655,4237
287,47
1186,3891
3736,72
461,491
4266,199
901,407
82,3715
3986,4508
230,3721
1913,3233
853,4408
385,3433
2795,3303
258,1967
3804,344
3892,2305
1619,2141
3683,4837
601,3673
3129,1088
921,928
57,470
4889,1927
2316,2305
670,961
2501,153
2882,4144
403,1801
341,787
4448,4542
634,1326
1225,1619
3654,1501
3053,182
3204,4261
3972,1917
4451,3374
2467,3634
102,4050
876,1742
1338,1453
1391,4227
4222,3180
4328,4364
510,4078
376,2605
4469,118
4732,2720
74,3619
3592,3355
41,774
767,4061
604,4654
3438,1755
678,1009
648,3771
3289,3906
2882,2134
8,2373
3120,3448
1987,4404
2432,2482
269,1430
4156,3743
1288,2252
254,3791
849,890
298,1097
2404,1676
3949,1275
573,2051
391,31
4400,120
4876,80
228,2142
2662,449
4408,3369
37,1486
583,4
4273,4328
4232,4328
398,1331
180,269
3871,4972
620,3312
2180,73
287,354
1770,1309
191,4112
2989,4598
239,241
3684,4265
2466,3368
18,3559
3462,2509
2564,299
1234,4437
3880,3529
2876,2034
3448,53
3453,2635
3884,610
4525,1214
4408,3048
2359,607
1773,3068
628,3442
580,588
1369,823
1788,3828
2919,2034
143,3355
4849,2241
1332,2180
3394,3260
222,3904
2620,2893
2602,777
4206,3922
354,2011
3056,3090
2726,3599
1271,3991
4616,862
2456,2325
1534,3769
1212,937
609,3472
315,3871
14,2354
3847,1488
423,461
1057,1346
392,423
1754,871
2118,3053
753,31
4889,3566
3332,377
1117,1171
4234,2683
3486,2487
2756,1651
90,1212
498,880
3610,2466
1566,3567
792,4637
4764,2640
3689,2300
3462,381
415,2731
1368,1374
989,3079
784,1147
1809,1837
418,4012
1934,2332
272,2372
402,3882
2232,4355
3717,2313
46,3812
2147,151
3449,2047
503,1789
4056,4734
1124,1158
1005,2203
204,3251
356,4323
2989,1409
1758,976
3694,453
3314,1114
176,2766
2580,2993
2017,3593
2004,3838
1913,1228
3452,367
1891,2154
1236,4619
4585,2867
2769,4815
4656,4053
302,424
1949,3043
3845,25
586,1978
448,491
101,621
3655,3891
23,4712
4001,221
1528,1398
275,1024
1666,1809
2285,4988
2717,3907
109,2948
3358,4604
2830,3485
3402,3448
441,2949
1387,1563
1773,1828
3087,413
4296,2894
287,334
1818,3186
1256,2716
2084,2681
1891,1934
334,424
2725,982
4346,4222
916,2150
3147,2754
4696,4746
901,2137
444,1383
2455,530
810,1755
3732,3813
1315,3138
533,199
2055,1803
1771,1293
648,528
4423,3569
2876,1062
4871,1624
491,96
380,423
3815,619
1874,4775
881,2725
1494,590
4609,3362
4406,1682
1332,4971
511,580
4643,4746
2712,1533
4810,4852
1874,3010
2620,3030
2456,1483
2262,2237
2442,2893
3815,3910
1686,1809
4673,3804
3932,4159
193,787
511,2289
346,3996
1550,3484
2061,3755
4653,2415
2319,1839
3225,117
4687,3697
3871,522
663,3838
3654,308
653,1930
333,3550
4638,4953
637,2464
4029,642
354,424
4542,4568
1343,2223
463,4658
223,287
4021,1001
4657,1531
3904,3511
3906,2643
2000,2754
4180,3431
3244,2307
494,232
550,1928
4676,4746
26,3511
200,3583
952,3841
729,2947
389,4636
1508,1518
82,3151
420,1082
791,1029
1266,1086
3453,4215
508,2479
3932,4273
650,4700
2606,1278
3322,3027
423,110
2592,2371
34,1328
4462,1833
1717,2732
1666,1777
948,4713
2496,3428
4892,2964
2684,819
486,1606
4143,2716
228,1350
378,2949
1042,1747
2620,3056
3588,1911
623,753
615,337
207,239
315,1599
4749,2463
3017,4689
4866,4876
248,2138
3847,2250
223,241
2729,3052
1746,2797
2466,2131
2523,468
309,3458
2309,2391
4962,2385
90,2993
241,270
4299,148
2186,4901
4559,4118
1528,3434
4713,1604
4425,4668
188,1464
3557,2842
4946,2437
4746,4866
4328,53
516,486
1554,4755
263,595
3299,902
1371,1386
1774,186
536,2395
50,1861
1307,4867
3804,4342
381,2545
407,190
4258,4456
4803,4219
287,4077
2648,4505
2489,3181
1480,1623
835,1745
3695,3813
179,1552
131,1403
4227,3454
4965,3592
4957,570
2519,3547
589,718
1765,4911
3468,2068
673,176
2198,4316
868,2517
3017,2520
241,246
4764,2247
1504,2516
4965,1589
246,287
4988,3991
202,2251
4448,4568
3813,4159
3644,4511
325,2564
3295,818
1433,2943
2505,61
465,1748
3241,886
618,3128
721,3229
3927,3932
793,4068
4133,1804
3989,4712
363,2923
718,381
3081,3852
312,4590
4964,3369
4810,4866
4638,2028
1303,3142
1537,1470
710,681
3792,4122
2776,3144
505,480
3644,1180
4159,4328
1833,2485
1374,44
4999,4387
3706,835
3209,3611
639,4037
4808,4723
3682,4205
1384,4598
623,646
3806,2076
2497,722
3906,4185
3583,3911
1849,1766
3784,2584
874,163
2532,3327
19,2554
4946,4803
2010,1032
3638,2344
2316,4068
110,4370
721,4998
4964,2136
318,4004
4161,516
3637,2664
420,2801
2497,1805
1272,1320
219,1991
3250,1175
1578,2162
767,3202
2331,2332
1550,1682
853,4722
3357,2166
878,921
2278,1209
4266,554
461,3291
320,2819
